cnt,type,year,suffix
41411,ForkEvent,2018,0409
37152,ForkEvent,2018,0517
44175,ForkEvent,2018,0301
20962,ForkEvent,2018,0630
27097,ForkEvent,2018,1208
25184,ForkEvent,2018,1118
43347,ForkEvent,2018,0110
36785,ForkEvent,2018,0420
37755,ForkEvent,2018,0212
38662,ForkEvent,2018,1130
27107,ForkEvent,2018,0121
40947,ForkEvent,2018,0927
38963,ForkEvent,2018,0725
39216,ForkEvent,2018,0712
27667,ForkEvent,2018,1209
39215,ForkEvent,2018,0913
45815,ForkEvent,2018,0228
41313,ForkEvent,2018,1206
38993,ForkEvent,2018,0621
39891,ForkEvent,2017,1219
40601,ForkEvent,2017,1106
28701,ForkEvent,2018,0430
23198,ForkEvent,2018,0519
40034,ForkEvent,2018,0202
41362,ForkEvent,2018,1205
19265,ForkEvent,2017,0625
22135,ForkEvent,2018,0610
39302,ForkEvent,2018,0619
32093,ForkEvent,2017,0703
27133,ForkEvent,2018,1020
37160,ForkEvent,2018,0803
23187,ForkEvent,2018,1125
40397,ForkEvent,2018,0808
40294,ForkEvent,2018,1003
40035,ForkEvent,2018,0126
43178,ForkEvent,2018,1127
21215,ForkEvent,2018,0708
40660,ForkEvent,2018,0905
19812,ForkEvent,2018,1222
19281,ForkEvent,2018,0617
43631,ForkEvent,2018,0131
37858,ForkEvent,2018,1207
30434,ForkEvent,2018,1027
22867,ForkEvent,2018,0422
21111,ForkEvent,2018,0429
39145,ForkEvent,2018,0723
39897,ForkEvent,2018,0626
45918,ForkEvent,2018,0313
21284,ForkEvent,2018,0805
42358,ForkEvent,2018,1129
32002,ForkEvent,2018,0219
41555,ForkEvent,2018,1107
34774,ForkEvent,2018,0824
20788,ForkEvent,2018,0721
23897,ForkEvent,2017,0408
34340,ForkEvent,2017,0818
21884,ForkEvent,2018,0527
37297,ForkEvent,2017,1103
41476,ForkEvent,2018,0424
41258,ForkEvent,2018,1105
43138,ForkEvent,2018,0403
24961,ForkEvent,2018,1225
40954,ForkEvent,2018,1012
34071,ForkEvent,2018,0427
40776,ForkEvent,2018,1113
25327,ForkEvent,2018,0331
40069,ForkEvent,2018,1121
36188,ForkEvent,2018,0815
45089,ForkEvent,2018,0319
46363,ForkEvent,2018,1023
41942,ForkEvent,2018,1026
40432,ForkEvent,2018,0710
34500,ForkEvent,2018,0817
26515,ForkEvent,2018,0203
42605,ForkEvent,2018,0129
39033,ForkEvent,2018,0423
38960,ForkEvent,2018,0514
40775,ForkEvent,2018,1126
22459,ForkEvent,2018,0916
39391,ForkEvent,2018,0711
39533,ForkEvent,2018,1218
37834,ForkEvent,2018,0628
38753,ForkEvent,2018,0719
26980,ForkEvent,2018,0930
36017,ForkEvent,2018,0504
44452,ForkEvent,2018,1018
22045,ForkEvent,2018,1124
33658,ForkEvent,2018,0405
40673,ForkEvent,2018,0205
37539,ForkEvent,2018,0827
38345,ForkEvent,2018,0625
25055,ForkEvent,2018,0401
42160,ForkEvent,2018,1120
37696,ForkEvent,2018,0801
35781,ForkEvent,2018,0720
46454,ForkEvent,2018,1029
25353,ForkEvent,2018,1021
22851,ForkEvent,2018,0407
29478,ForkEvent,2017,0105
31674,ForkEvent,2018,0618
40062,ForkEvent,2018,0122
27954,ForkEvent,2018,0929
26741,ForkEvent,2018,0428
32316,ForkEvent,2018,0214
30819,ForkEvent,2018,0224
24504,ForkEvent,2018,1229
26961,ForkEvent,2018,0324
21487,ForkEvent,2018,0811
34887,ForkEvent,2018,0704
36417,ForkEvent,2018,0518
20847,ForkEvent,2017,0820
37550,ForkEvent,2017,0419
22302,ForkEvent,2017,0924
33837,ForkEvent,2017,0118
23649,ForkEvent,2017,1210
39051,ForkEvent,2018,0223
26844,ForkEvent,2018,0318
44900,ForkEvent,2018,0207
23603,ForkEvent,2018,0415
34351,ForkEvent,2018,0629
37636,ForkEvent,2018,0507
21016,ForkEvent,2018,0819
26281,ForkEvent,2018,0325
40557,ForkEvent,2018,0920
22494,ForkEvent,2018,0923
40424,ForkEvent,2018,0904
37124,ForkEvent,2018,0823
21901,ForkEvent,2018,1215
37321,ForkEvent,2018,0718
24496,ForkEvent,2018,0414
20845,ForkEvent,2018,0902
44676,ForkEvent,2018,0322
37065,ForkEvent,2018,0822
21671,ForkEvent,2018,0624
34718,ForkEvent,2017,0811
32023,ForkEvent,2017,1124
18765,ForkEvent,2017,0701
22898,ForkEvent,2018,0602
40578,ForkEvent,2018,0302
39137,ForkEvent,2018,1213
43460,ForkEvent,2018,0206
23045,ForkEvent,2018,0915
44404,ForkEvent,2018,1015
34843,ForkEvent,2017,0331
38313,ForkEvent,2017,1117
38273,ForkEvent,2017,0802
23946,ForkEvent,2017,0527
38423,ForkEvent,2018,0928
35643,ForkEvent,2018,0213
40483,ForkEvent,2018,0925
22286,ForkEvent,2018,0714
46671,ForkEvent,2018,1009
28996,ForkEvent,2018,0120
43359,ForkEvent,2018,0606
26720,ForkEvent,2018,0127
20429,ForkEvent,2018,0101
40867,ForkEvent,2018,0607
40352,ForkEvent,2018,0412
23463,ForkEvent,2018,1103
43061,ForkEvent,2018,0612
27579,ForkEvent,2018,1028
27570,ForkEvent,2018,0113
53987,ForkEvent,2019,0829
54606,ForkEvent,2019,0227
24933,ForkEvent,2017,1111
45121,ForkEvent,2018,0315
39989,ForkEvent,2018,0425
45470,ForkEvent,2018,0123
26881,ForkEvent,2018,1006
35389,ForkEvent,2018,0511
21255,ForkEvent,2018,0901
45530,ForkEvent,2018,0328
33693,ForkEvent,2017,0615
39298,ForkEvent,2018,0709
37014,ForkEvent,2018,0907
27082,ForkEvent,2018,0106
26570,ForkEvent,2018,1014
39570,ForkEvent,2018,0830
35007,ForkEvent,2018,0727
39945,ForkEvent,2018,0906
37032,ForkEvent,2018,1116
44657,ForkEvent,2018,0118
21952,ForkEvent,2018,0526
42000,ForkEvent,2018,1114
35100,ForkEvent,2018,0831
24277,ForkEvent,2018,0512
37466,ForkEvent,2017,0829
43546,ForkEvent,2018,0109
38763,ForkEvent,2018,0731
41339,ForkEvent,2018,1019
46747,ForkEvent,2018,1016
22131,ForkEvent,2018,0825
37838,ForkEvent,2019,0501
52269,ForkEvent,2019,0430
57722,ForkEvent,2019,0516
40207,ForkEvent,2018,1212
45432,ForkEvent,2018,1017
39947,ForkEvent,2018,0717
43435,ForkEvent,2018,1211
37408,ForkEvent,2018,0211
23856,ForkEvent,2018,1117
22901,ForkEvent,2018,0908
20762,ForkEvent,2018,0729
27995,ForkEvent,2018,1013
40857,ForkEvent,2018,0918
37968,ForkEvent,2018,0413
40562,ForkEvent,2018,0912
28588,ForkEvent,2018,0311
44645,ForkEvent,2018,1011
46156,ForkEvent,2018,0320
23293,ForkEvent,2019,0106
51215,ForkEvent,2019,1025
58977,ForkEvent,2019,0402
56555,ForkEvent,2019,0408
23375,ForkEvent,2018,0609
27361,ForkEvent,2018,0310
40394,ForkEvent,2018,0829
39800,ForkEvent,2018,0926
20837,ForkEvent,2018,0715
20464,ForkEvent,2018,0701
37956,ForkEvent,2018,0816
36323,ForkEvent,2018,1005
47384,ForkEvent,2018,1031
43871,ForkEvent,2018,0312
44825,ForkEvent,2018,0307
38475,ForkEvent,2018,0510
37585,ForkEvent,2018,0525
20791,ForkEvent,2018,0728
43221,ForkEvent,2018,1002
35960,ForkEvent,2018,1214
41754,ForkEvent,2018,1108
35664,ForkEvent,2018,0601
32720,ForkEvent,2018,1227
30891,ForkEvent,2018,1228
46555,ForkEvent,2019,1012
55582,ForkEvent,2019,1104
23412,ForkEvent,2018,1110
38896,ForkEvent,2018,1112
40815,ForkEvent,2018,0323
26676,ForkEvent,2018,1224
27508,ForkEvent,2018,1204
39998,ForkEvent,2018,0115
54192,ForkEvent,2019,0220
44661,ForkEvent,2018,0124
41368,ForkEvent,2018,0103
36649,ForkEvent,2018,0702
37949,ForkEvent,2018,0802
48003,ForkEvent,2018,0314
29585,ForkEvent,2018,1226
40811,ForkEvent,2018,0404
36162,ForkEvent,2018,0220
25823,ForkEvent,2018,0225
51477,ForkEvent,2019,0703
23827,ForkEvent,2018,0421
22556,ForkEvent,2018,0513
38636,ForkEvent,2018,1217
38287,ForkEvent,2018,0821
39615,ForkEvent,2018,0509
43566,ForkEvent,2018,1210
59645,ForkEvent,2019,1022
37127,ForkEvent,2018,0221
41659,ForkEvent,2018,0919
36805,ForkEvent,2018,1220
38539,ForkEvent,2018,0112
26878,ForkEvent,2018,0317
52960,ForkEvent,2019,0305
39221,ForkEvent,2018,0329
30889,ForkEvent,2019,0908
33167,ForkEvent,2018,0924
35819,ForkEvent,2018,1022
20889,ForkEvent,2018,0722
37499,ForkEvent,2018,0529
22291,ForkEvent,2018,0623
26498,ForkEvent,2018,0210
38930,ForkEvent,2018,0703
39315,ForkEvent,2018,0614
39187,ForkEvent,2018,0516
46113,ForkEvent,2018,1024
55023,ForkEvent,2019,1126
35718,ForkEvent,2018,0608
40254,ForkEvent,2018,0604
40788,ForkEvent,2018,0209
22735,ForkEvent,2018,0603
